Given name,Attribute,Placenames
Ragnar,Adventurous,The Crystal Caverns
Bjorn,Ambitious,The Tower of Sorcery
Cersei,Artistic,The Dark Forest
Stannis,Athletic,The Crimson Keep
Jon,Brave,The Sunken City
Theon,Calm,The Labyrinth of Shadows
Margaery,Charismatic,The Lost Temple
Oberyn,Charming,The Elemental Nexus
Jon,Clever,The City of Thieves
Lucas,Confident,The Dragon's Lair
Brandon,Courageous,The Enchanted Grove
Roose,Creative,The Emerald Isles
Sandor,Cultured,The Wailing Wasteland
Arthur,Curious,The Frozen Tundra
Walder,Dependable,The Citadel of Ice
Harald,Determined,The Burning Desert
Howland,Diligent,The Ancient Ruins
Waymar,Disciplined,The Shadow Realm
Leif,Easygoing,The Whispering Woods
Smalljon,Empathetic,The Valley of the Giants
Archibald,Energetic,The City of Gold
Charlemagne,Enthusiastic,The Abandoned Mine
William,Flexible,The Misty Mountains
Richard,Friendly,The Tower of the Necromancer
Henry,Generous,The Temple of the Sun God
Edward,Humble,The Isle of the Undead
Arthur,Independent,The Enchanted Lagoon
Godfrey,Intelligent,The Tower of the Archmage
William,Joyful,The Cursed Swamp
Saladin,Kind,The Crystal Palace
Draco,Loyal,The Floating City
Ronald,Motivated,The Dark Citadel
Neville,Optimistic,The Forbidden Library
Severus,Passionate,The Lost Island
Bellatrix,Patient,The Forest of the Dead
Luna,Polite,The Cavern of Darkness
Cedric,Resourceful,The City of Shadows
Bartemius,Responsible,The Temple of the Moon Goddess
Marvolo,Sincere,The Tower of Light
Tom,Sociable,The Underwater Kingdom
Helga,Sophisticated,The Forgotten City
Gunnar,Strong,The Cave of Wonders
Olaf,Supportive,The Crystal Forest
Erik,Talented,The City of Masks
Sigrid,Tenacious,The Tower of Illusion
Sweyn,Thoughtful,The Lost Forest
Thorkell,Trustworthy,The Temple of the Earth Mother
Freydis,Versatile,The City of Whispers
Gudrun,Warm,The Palace of Dreams
Thorgils,Wise,The Cavern of the Crystal Dragon
Harald,Arrogant,The Tower of Enchantment
Erik the Red,Cowardly,The Underground Labyrinth
Ivar,Cynical,The Hidden City
Asajj,Dishonest,The Emerald City
Dooku,Impulsive,The Tower of the Warlock
Grievous,Inflexible,The Ruins of Atlantis
Durin,Jealous,The Forgotten Temple
Balin,Moody,The Cursed Castle
Fili,Selfish,The City of Glass
Kili,Unreliable,The Tower of the Void
Thorin,Adventurous,The Dark Cave
Bofur,Ambitious,The Castle of Shadows
Bifur,Analytical,The Enchanted Canyon
Bombur,Artistic,The Sunken Temple
Dwalin,Attentive,The Tower of the High Priestess
Gloin,Confident,The City of Thorns
Oin,Cooperative,The Crystal Grotto
Nori,Courageous,The Underground River
Ori,Creative,The Forbidden City of the Dwarves
Kili,Curious,The Enchanted Mountain
Thranduil,Empathetic,The Tower of the Sorceress
Legolas,Enthusiastic,The Forbidden Fortress
Olaf,Focused,The Cavern of the Crystal Spider
Magnus,Friendly,The City of Bones
Haakon,Generous,The Tower of the Black Mage
Thorstein,Gracious,The City of Silence
Egil,Honest,The Crystal Lake
Knut,Humorous,The Tower of the Demon Lord
Thorolf,Independent,The Lost Tomb
Leif,Innovative,The Enchanted Marsh
Gudbrand,Insightful,The Temple of the Wind God
Philip,Intuitive,The City of Fire
Henry,Meticulous,The Tower of the Dark Queen
John,Open-minded,The Forgotten Kingdom
Henry,Organized,The Cavern of the Crystal Bat
Philip,Patient,The Island of the Cyclops
Hugh,Persistent,The Tower of the Enchanter
Otto,Positive,The City of Ice
Leif,Reliable,The Forbidden Valley
Louis,Resourceful,The Tower of the Witch
Robert,Aggressive,The Crystal River
Harold,Arrogant,The City of Nightmares
Frederick,Close-minded,The Lost City of Gold
Erik,Compulsive,The Enchanted Meadow
Ivar,Critical,The Temple of the Water Goddess
Sweyn,Deceitful,The Tower of the Fallen Angel
Thorkell,Demanding,The Cavern of the Crystal Scorpion
Magnus,Inconsiderate,The Island of the Kraken
Harald,Pessimistic,The Citadel of Shadows
Thorstein,Stubborn,The Tower of the Elemental Magi
